지점,지점명,일시,강수량(mm)
108,서울,2021-01-05 0:00,0
108,서울,2021-01-05 3:00,0
108,서울,2021-01-05 6:00,0
108,서울,2021-01-05 9:00,0
108,서울,2021-01-06 21:00,2.2
108,서울,2021-01-07 0:00,0.1
108,서울,2021-01-12 15:00,0.1
108,서울,2021-01-12 18:00,2.3
108,서울,2021-01-12 21:00,0.2
108,서울,2021-01-13 0:00,0
108,서울,2021-01-13 3:00,0
108,서울,2021-01-15 15:00,0.2
108,서울,2021-01-17 18:00,0
108,서울,2021-01-17 21:00,0
108,서울,2021-01-18 0:00,0
108,서울,2021-01-18 3:00,0
108,서울,2021-01-18 6:00,0
108,서울,2021-01-18 12:00,0.3
108,서울,2021-01-18 15:00,0
108,서울,2021-01-21 15:00,0.6
108,서울,2021-01-21 18:00,4
108,서울,2021-01-21 21:00,3.7
108,서울,2021-01-22 0:00,0.9
108,서울,2021-01-22 3:00,0
108,서울,2021-01-22 6:00,0.1
108,서울,2021-01-26 9:00,0
108,서울,2021-01-26 12:00,1.3
108,서울,2021-01-26 15:00,0
108,서울,2021-01-26 18:00,0.4
108,서울,2021-01-28 12:00,2
108,서울,2021-01-30 6:00,0
108,서울,2021-01-30 9:00,0.2
108,서울,2021-01-30 12:00,0.3
108,서울,2021-02-01 3:00,0.7
108,서울,2021-02-02 21:00,0
108,서울,2021-02-03 0:00,0
108,서울,2021-02-03 18:00,0
108,서울,2021-02-03 21:00,0
108,서울,2021-02-04 0:00,3.4
108,서울,2021-02-04 3:00,0.1
108,서울,2021-02-14 6:00,0
108,서울,2021-02-15 3:00,0
108,서울,2021-02-15 6:00,1.2
108,서울,2021-02-15 9:00,0.2
108,서울,2021-02-16 9:00,0
108,서울,2021-02-16 12:00,0.8
108,서울,2021-02-16 15:00,0.7
108,서울,2021-02-17 21:00,0
108,서울,2021-03-01 3:00,0
108,서울,2021-03-01 6:00,4
108,서울,2021-03-01 9:00,12.3
108,서울,2021-03-01 12:00,18.7
108,서울,2021-03-01 15:00,15.8
108,서울,2021-03-01 18:00,10.1
108,서울,2021-03-01 21:00,4.3
108,서울,2021-03-02 0:00,2.3
108,서울,2021-03-02 3:00,0.1
108,서울,2021-03-12 9:00,0
108,서울,2021-03-12 15:00,0
108,서울,2021-03-12 18:00,0
108,서울,2021-03-16 0:00,1.7
108,서울,2021-03-16 3:00,1.3
108,서울,2021-03-20 9:00,0
108,서울,2021-03-20 12:00,3.7
108,서울,2021-03-20 15:00,1.2
108,서울,2021-03-20 21:00,0.2
108,서울,2021-03-21 0:00,0
108,서울,2021-03-21 15:00,0.3
108,서울,2021-03-27 12:00,0
108,서울,2021-03-27 15:00,4
108,서울,2021-03-27 18:00,9.8
108,서울,2021-03-27 21:00,5.8
108,서울,2021-03-28 0:00,5.9
108,서울,2021-03-28 3:00,3.6
108,서울,2021-03-28 6:00,1.3
108,서울,2021-03-28 9:00,2.8
108,서울,2021-03-28 12:00,0.5
108,서울,2021-03-28 15:00,0
108,서울,2021-03-28 21:00,0
108,서울,2021-03-29 0:00,1
108,서울,2021-03-29 3:00,0.2
108,서울,2021-04-02 19:00,0
108,서울,2021-04-02 20:00,0
108,서울,2021-04-03 8:00,0
108,서울,2021-04-03 9:00,0
108,서울,2021-04-03 10:00,0.7
108,서울,2021-04-03 11:00,4.1
108,서울,2021-04-03 12:00,10.3
108,서울,2021-04-03 13:00,8
108,서울,2021-04-03 14:00,5.5
108,서울,2021-04-03 15:00,4.7
108,서울,2021-04-03 16:00,4.5
108,서울,2021-04-03 17:00,3
108,서울,2021-04-03 18:00,4
108,서울,2021-04-03 19:00,4.4
108,서울,2021-04-03 20:00,1.1
108,서울,2021-04-03 21:00,0
108,서울,2021-04-03 22:00,5.3
108,서울,2021-04-03 23:00,0.6
108,서울,2021-04-04 0:00,0
108,서울,2021-04-04 1:00,0.2
108,서울,2021-04-04 2:00,0
108,서울,2021-04-04 3:00,0
108,서울,2021-04-04 4:00,0
108,서울,2021-04-04 5:00,0.3
108,서울,2021-04-04 6:00,0.1
108,서울,2021-04-12 10:00,0
108,서울,2021-04-12 11:00,0
108,서울,2021-04-12 12:00,0
108,서울,2021-04-12 13:00,0
108,서울,2021-04-12 14:00,0.3
108,서울,2021-04-12 15:00,1.3
108,서울,2021-04-12 16:00,1.8
108,서울,2021-04-12 17:00,2
108,서울,2021-04-12 18:00,1.5
108,서울,2021-04-12 19:00,4.1
108,서울,2021-04-12 20:00,4.5
108,서울,2021-04-12 21:00,1.6
108,서울,2021-04-12 22:00,1.2
108,서울,2021-04-12 23:00,0.7
108,서울,2021-04-13 0:00,3
108,서울,2021-04-13 1:00,2.9
108,서울,2021-04-13 2:00,1.8
108,서울,2021-04-13 3:00,1.8
108,서울,2021-04-13 4:00,1
108,서울,2021-04-13 5:00,0.5
108,서울,2021-04-13 6:00,0
108,서울,2021-04-13 7:00,0
108,서울,2021-04-16 6:00,0
108,서울,2021-04-16 11:00,0
108,서울,2021-04-16 12:00,0.7
108,서울,2021-04-16 13:00,0
108,서울,2021-04-16 14:00,0
108,서울,2021-04-17 12:00,0
108,서울,2021-04-17 13:00,0
108,서울,2021-04-17 14:00,0
108,서울,2021-04-17 17:00,0
108,서울,2021-04-23 4:00,0
108,서울,2021-04-23 5:00,0
108,서울,2021-04-23 6:00,0
108,서울,2021-04-23 7:00,0
108,서울,2021-04-23 8:00,0
108,서울,2021-04-23 13:00,0
108,서울,2021-04-23 14:00,0
108,서울,2021-04-24 15:00,0
108,서울,2021-04-27 8:00,0
108,서울,2021-04-27 18:00,0
108,서울,2021-04-27 19:00,0
108,서울,2021-04-27 21:00,0
108,서울,2021-04-27 22:00,0
108,서울,2021-04-27 23:00,0
108,서울,2021-04-28 0:00,1.7
108,서울,2021-04-28 1:00,4.7
108,서울,2021-04-28 2:00,0
108,서울,2021-04-29 10:00,0
108,서울,2021-04-29 11:00,0
108,서울,2021-04-29 12:00,0
108,서울,2021-04-29 13:00,0
108,서울,2021-04-29 23:00,0.5
108,서울,2021-04-30 0:00,3.4
108,서울,2021-04-30 1:00,2.5
108,서울,2021-04-30 2:00,3.6
108,서울,2021-04-30 3:00,7.6
108,서울,2021-04-30 4:00,8.3
108,서울,2021-04-30 5:00,3.5
108,서울,2021-04-30 6:00,0.5
108,서울,2021-04-30 7:00,0.3
108,서울,2021-04-30 8:00,0
108,서울,2021-04-30 9:00,0
108,서울,2021-04-30 10:00,0
108,서울,2021-04-30 16:00,0
108,서울,2021-05-01 5:00,0
108,서울,2021-05-01 6:00,0.2
108,서울,2021-05-01 7:00,0
108,서울,2021-05-01 8:00,0.1
108,서울,2021-05-01 9:00,0
108,서울,2021-05-01 10:00,0
108,서울,2021-05-01 11:00,0
108,서울,2021-05-01 14:00,1.4
108,서울,2021-05-01 15:00,4.5
108,서울,2021-05-01 16:00,0.8
108,서울,2021-05-01 17:00,0.3
108,서울,2021-05-01 18:00,0
108,서울,2021-05-01 19:00,0
108,서울,2021-05-01 22:00,0.2
108,서울,2021-05-01 23:00,0.2
108,서울,2021-05-02 0:00,0.3
108,서울,2021-05-02 1:00,0.7
108,서울,2021-05-02 2:00,1
108,서울,2021-05-02 3:00,0
108,서울,2021-05-04 7:00,0
108,서울,2021-05-04 8:00,0.2
108,서울,2021-05-04 9:00,0
108,서울,2021-05-04 10:00,1.3
108,서울,2021-05-04 11:00,0
108,서울,2021-05-04 12:00,0
108,서울,2021-05-04 13:00,0
108,서울,2021-05-04 14:00,0
108,서울,2021-05-04 15:00,3.1
108,서울,2021-05-04 16:00,2.7
108,서울,2021-05-04 17:00,0.6
108,서울,2021-05-04 18:00,0.1
108,서울,2021-05-04 19:00,0.3
108,서울,2021-05-04 20:00,1.5
108,서울,2021-05-04 21:00,3.1
108,서울,2021-05-04 22:00,3.2
108,서울,2021-05-04 23:00,2.5
108,서울,2021-05-05 0:00,1
108,서울,2021-05-05 1:00,0.1
108,서울,2021-05-07 10:00,8.5
108,서울,2021-05-07 11:00,0.3
108,서울,2021-05-10 6:00,0
108,서울,2021-05-10 7:00,0
108,서울,2021-05-10 8:00,0
108,서울,2021-05-10 11:00,0
108,서울,2021-05-10 12:00,0
108,서울,2021-05-15 3:00,0
108,서울,2021-05-15 4:00,0
108,서울,2021-05-15 5:00,0
108,서울,2021-05-15 6:00,0
108,서울,2021-05-15 13:00,0
108,서울,2021-05-15 14:00,5.7
108,서울,2021-05-15 15:00,0.4
108,서울,2021-05-15 16:00,2.2
108,서울,2021-05-15 17:00,0.7
108,서울,2021-05-15 18:00,1
108,서울,2021-05-15 19:00,0.3
108,서울,2021-05-15 20:00,0.7
108,서울,2021-05-15 21:00,0.7
108,서울,2021-05-15 22:00,1.9
108,서울,2021-05-15 23:00,0.6
108,서울,2021-05-16 0:00,0.8
108,서울,2021-05-16 1:00,0.8
108,서울,2021-05-16 2:00,0.2
108,서울,2021-05-16 3:00,1.9
108,서울,2021-05-16 4:00,1
108,서울,2021-05-16 5:00,3.3
108,서울,2021-05-16 6:00,1.1
108,서울,2021-05-16 7:00,2.2
108,서울,2021-05-16 8:00,2.6
108,서울,2021-05-16 9:00,5
108,서울,2021-05-16 10:00,2.7
108,서울,2021-05-16 11:00,2.5
108,서울,2021-05-16 12:00,3.7
108,서울,2021-05-16 13:00,3.5
108,서울,2021-05-16 14:00,0.8
108,서울,2021-05-16 15:00,1.4
108,서울,2021-05-16 16:00,4.8
108,서울,2021-05-16 17:00,4.3
108,서울,2021-05-16 18:00,3.5
108,서울,2021-05-16 19:00,7.2
108,서울,2021-05-16 20:00,10.7
108,서울,2021-05-16 21:00,2
108,서울,2021-05-16 22:00,1.5
108,서울,2021-05-16 23:00,0
108,서울,2021-05-17 0:00,0.2
108,서울,2021-05-17 1:00,0
108,서울,2021-05-17 3:00,0
108,서울,2021-05-17 4:00,0
108,서울,2021-05-17 5:00,0.2
108,서울,2021-05-17 6:00,0
108,서울,2021-05-17 7:00,0.1
108,서울,2021-05-17 8:00,0
108,서울,2021-05-17 9:00,0
108,서울,2021-05-17 10:00,0
108,서울,2021-05-17 11:00,0.1
108,서울,2021-05-17 12:00,1.3
108,서울,2021-05-17 13:00,0.8
108,서울,2021-05-17 14:00,0
108,서울,2021-05-17 15:00,0.3
108,서울,2021-05-17 16:00,0.3
108,서울,2021-05-17 17:00,0
108,서울,2021-05-20 8:00,0
108,서울,2021-05-20 9:00,0
108,서울,2021-05-20 10:00,0
108,서울,2021-05-20 11:00,0
108,서울,2021-05-20 12:00,0
108,서울,2021-05-20 14:00,0
108,서울,2021-05-20 17:00,0
108,서울,2021-05-20 18:00,0
108,서울,2021-05-20 19:00,0
108,서울,2021-05-20 20:00,0.1
108,서울,2021-05-20 21:00,0.3
108,서울,2021-05-20 22:00,0
108,서울,2021-05-20 23:00,0.2
108,서울,2021-05-21 0:00,0.3
108,서울,2021-05-21 1:00,0.1
108,서울,2021-05-21 2:00,1.5
108,서울,2021-05-21 3:00,0.9
108,서울,2021-05-21 4:00,0.9
108,서울,2021-05-21 5:00,0.6
108,서울,2021-05-21 6:00,0.2
108,서울,2021-05-21 7:00,0.5
108,서울,2021-05-21 8:00,0
108,서울,2021-05-21 9:00,0.2
108,서울,2021-05-21 10:00,0
108,서울,2021-05-21 11:00,0
108,서울,2021-05-21 12:00,0
108,서울,2021-05-21 13:00,0
108,서울,2021-05-21 14:00,0
108,서울,2021-05-21 15:00,2
108,서울,2021-05-21 16:00,0
108,서울,2021-05-22 0:00,0
108,서울,2021-05-22 1:00,0
108,서울,2021-05-22 2:00,0.2
108,서울,2021-05-22 3:00,0
108,서울,2021-05-25 5:00,0
108,서울,2021-05-25 6:00,1.3
108,서울,2021-05-25 7:00,4.6
108,서울,2021-05-25 8:00,0.5
108,서울,2021-05-25 9:00,1.8
108,서울,2021-05-25 10:00,0.1
108,서울,2021-05-26 18:00,0
108,서울,2021-05-26 19:00,0
108,서울,2021-05-27 7:00,2.2
108,서울,2021-05-27 8:00,5.1
108,서울,2021-05-27 9:00,0.6
108,서울,2021-05-27 10:00,0.6
108,서울,2021-05-27 11:00,0.4
108,서울,2021-05-27 12:00,0
108,서울,2021-05-27 13:00,0
108,서울,2021-05-28 3:00,0
108,서울,2021-05-28 4:00,0.1
108,서울,2021-05-28 5:00,1.4
108,서울,2021-05-28 6:00,4.5
108,서울,2021-05-28 7:00,2.4
108,서울,2021-05-28 8:00,2.1
108,서울,2021-05-28 9:00,1.3
108,서울,2021-05-28 10:00,0.5
108,서울,2021-05-28 11:00,0
108,서울,2021-05-29 12:00,0
108,서울,2021-05-29 13:00,0
108,서울,2021-05-29 14:00,0
108,서울,2021-05-29 15:00,0.2
108,서울,2021-05-29 16:00,0
108,서울,2021-05-29 17:00,0.1
108,서울,2021-05-29 18:00,0
108,서울,2021-05-29 19:00,0
108,서울,2021-05-29 20:00,0
108,서울,2021-05-30 20:00,2.1
108,서울,2021-05-30 21:00,0.4
108,서울,2021-05-30 22:00,0
108,서울,2021-05-30 23:00,6.8
108,서울,2021-05-31 0:00,8.8
108,서울,2021-05-31 1:00,3.1
108,서울,2021-05-31 2:00,0.9
108,서울,2021-05-31 3:00,0
108,서울,2021-05-31 4:00,0
108,서울,2021-06-01 5:00,0.3
108,서울,2021-06-01 6:00,0.6
108,서울,2021-06-01 7:00,0
108,서울,2021-06-01 8:00,1.3
108,서울,2021-06-01 9:00,1
108,서울,2021-06-01 16:00,0
108,서울,2021-06-01 17:00,0
108,서울,2021-06-03 11:00,0
108,서울,2021-06-03 12:00,0
108,서울,2021-06-03 13:00,0.5
108,서울,2021-06-03 14:00,0.5
108,서울,2021-06-03 15:00,1.7
108,서울,2021-06-03 16:00,1.8
108,서울,2021-06-03 17:00,3.3
108,서울,2021-06-03 18:00,1.2
108,서울,2021-06-03 19:00,1.2
108,서울,2021-06-03 20:00,1.5
108,서울,2021-06-03 21:00,4.8
108,서울,2021-06-03 22:00,0.3
108,서울,2021-06-03 23:00,0.8
108,서울,2021-06-04 0:00,0.5
108,서울,2021-06-07 9:00,0
108,서울,2021-06-07 10:00,0
108,서울,2021-06-07 11:00,0
108,서울,2021-06-07 13:00,0
108,서울,2021-06-07 14:00,0
108,서울,2021-06-07 15:00,0
108,서울,2021-06-07 16:00,0
108,서울,2021-06-08 5:00,0.1
108,서울,2021-06-08 6:00,0
108,서울,2021-06-10 18:00,0
108,서울,2021-06-10 19:00,0
108,서울,2021-06-10 20:00,0.5
108,서울,2021-06-10 21:00,0
108,서울,2021-06-10 22:00,0.2
108,서울,2021-06-10 23:00,0.6
108,서울,2021-06-11 0:00,4.8
108,서울,2021-06-11 1:00,1.5
108,서울,2021-06-11 2:00,0.3
108,서울,2021-06-11 3:00,2
108,서울,2021-06-11 4:00,0.8
108,서울,2021-06-11 5:00,0
108,서울,2021-06-15 3:00,0.1
108,서울,2021-06-15 4:00,0.2
108,서울,2021-06-15 5:00,0
108,서울,2021-06-15 6:00,0
108,서울,2021-06-15 8:00,0
108,서울,2021-06-15 9:00,0.2
108,서울,2021-06-15 10:00,0.2
108,서울,2021-06-15 11:00,0.8
108,서울,2021-06-15 12:00,0.4
108,서울,2021-06-15 13:00,0
108,서울,2021-06-15 14:00,0
108,서울,2021-06-17 16:00,0
108,서울,2021-06-17 17:00,0
108,서울,2021-06-17 18:00,0
108,서울,2021-06-17 22:00,0
108,서울,2021-06-17 23:00,0
108,서울,2021-06-18 0:00,0
108,서울,2021-06-18 2:00,0
108,서울,2021-06-18 3:00,0.1
108,서울,2021-06-18 4:00,0.2
108,서울,2021-06-18 5:00,0.8
108,서울,2021-06-18 6:00,1
108,서울,2021-06-18 7:00,1.5
108,서울,2021-06-18 8:00,0.8
108,서울,2021-06-18 9:00,0.8
108,서울,2021-06-18 10:00,0.4
108,서울,2021-06-18 11:00,0.4
108,서울,2021-06-18 12:00,0.3
108,서울,2021-06-18 13:00,0
108,서울,2021-06-19 0:00,0
