지점,지점명,일시,강수량(mm),강수량 QC플래그
108,서울,2018-01-01 0:00,,9
108,서울,2018-01-08 6:00,0,0
108,서울,2018-01-08 7:00,,9
108,서울,2018-01-08 8:00,,9
108,서울,2018-01-08 9:00,,9
108,서울,2018-01-08 10:00,,9
108,서울,2018-01-08 11:00,,9
108,서울,2018-01-08 12:00,,9
108,서울,2018-01-08 13:00,,9
108,서울,2018-01-08 14:00,,9
108,서울,2018-01-08 15:00,,9
108,서울,2018-01-08 16:00,,9
108,서울,2018-01-08 17:00,,9
108,서울,2018-01-08 18:00,0,0
108,서울,2018-01-08 19:00,,9
108,서울,2018-01-08 20:00,,9
108,서울,2018-01-08 21:00,0.9,0
108,서울,2018-01-08 22:00,,9
108,서울,2018-01-08 23:00,,9
108,서울,2018-01-09 0:00,0,0
108,서울,2018-01-09 1:00,,9
108,서울,2018-01-09 2:00,,9
108,서울,2018-01-09 3:00,0,0
108,서울,2018-01-09 4:00,,9
108,서울,2018-01-09 5:00,,9
108,서울,2018-01-09 6:00,,9
108,서울,2018-01-09 7:00,,9
108,서울,2018-01-09 8:00,,9
108,서울,2018-01-09 9:00,,9
108,서울,2018-01-09 10:00,,9
108,서울,2018-01-09 11:00,,9
108,서울,2018-01-09 12:00,,9
108,서울,2018-01-09 13:00,,9
108,서울,2018-01-09 14:00,,9
108,서울,2018-01-09 15:00,0,0
108,서울,2018-01-09 16:00,,9
108,서울,2018-01-09 17:00,,9
108,서울,2018-01-09 18:00,0,0
108,서울,2018-01-09 19:00,,9
108,서울,2018-01-09 20:00,,9
108,서울,2018-01-09 21:00,,9
108,서울,2018-01-09 22:00,,9
108,서울,2018-01-09 23:00,,9
108,서울,2018-01-10 0:00,0.5,0
108,서울,2018-01-10 1:00,,9
108,서울,2018-01-10 2:00,,9
108,서울,2018-01-10 3:00,0.3,0
108,서울,2018-01-10 4:00,,9
108,서울,2018-01-10 5:00,,9
108,서울,2018-01-10 6:00,,9
108,서울,2018-01-10 7:00,,9
108,서울,2018-01-10 8:00,,9
108,서울,2018-01-10 9:00,,9
108,서울,2018-01-10 10:00,,9
108,서울,2018-01-10 11:00,,9
108,서울,2018-01-10 12:00,,9
108,서울,2018-01-10 13:00,,9
108,서울,2018-01-10 14:00,,9
108,서울,2018-01-10 15:00,,9
108,서울,2018-01-10 16:00,,9
108,서울,2018-01-10 17:00,,9
108,서울,2018-01-10 18:00,,9
108,서울,2018-01-10 19:00,,9
108,서울,2018-01-10 20:00,,9
108,서울,2018-01-10 21:00,,9
108,서울,2018-01-10 22:00,,9
