지점,지점명,일시,강수량(mm)
108,서울,2019-01-15 12:00,0
108,서울,2019-01-15 15:00,0
108,서울,2019-01-16 21:00,0
108,서울,2019-01-17 0:00,0
108,서울,2019-01-17 3:00,0
108,서울,2019-01-21 12:00,0
108,서울,2019-01-21 15:00,0
108,서울,2019-01-28 3:00,0
108,서울,2019-02-01 18:00,0
108,서울,2019-02-01 21:00,0.3
108,서울,2019-02-03 0:00,0
108,서울,2019-02-03 3:00,0.5
108,서울,2019-02-03 6:00,3.5
108,서울,2019-02-03 9:00,5
108,서울,2019-02-03 12:00,3.5
108,서울,2019-02-03 15:00,1
108,서울,2019-02-03 18:00,1
108,서울,2019-02-03 21:00,1.5
108,서울,2019-02-07 3:00,0
108,서울,2019-02-07 6:00,0.5
108,서울,2019-02-07 9:00,0
108,서울,2019-02-12 6:00,0
108,서울,2019-02-12 9:00,0
108,서울,2019-02-15 6:00,0.3
108,서울,2019-02-15 9:00,1.1
108,서울,2019-02-15 12:00,0.3
108,서울,2019-02-15 15:00,0
108,서울,2019-02-15 18:00,0.5
108,서울,2019-02-15 21:00,0
108,서울,2019-02-16 3:00,0.2
108,서울,2019-02-16 6:00,0
108,서울,2019-02-19 3:00,0
108,서울,2019-02-19 6:00,0.7
108,서울,2019-02-19 9:00,0.7
108,서울,2019-02-19 12:00,3.1
108,서울,2019-02-19 15:00,0.1
108,서울,2019-02-20 3:00,0
108,서울,2019-02-20 6:00,0
108,서울,2019-02-20 12:00,0
108,서울,2019-03-11 21:00,0
108,서울,2019-03-12 12:00,0
108,서울,2019-03-13 12:00,0
108,서울,2019-03-14 21:00,0
108,서울,2019-03-15 18:00,1.8
108,서울,2019-03-15 21:00,1.7
108,서울,2019-03-16 0:00,0
108,서울,2019-03-20 15:00,0.5
108,서울,2019-03-20 18:00,2.4
108,서울,2019-03-20 21:00,7.5
108,서울,2019-03-21 0:00,6.1
108,서울,2019-03-21 3:00,1.3
108,서울,2019-03-21 6:00,2
108,서울,2019-03-21 9:00,0
108,서울,2019-03-23 12:00,0
108,서울,2019-03-23 15:00,1.7
108,서울,2019-03-30 3:00,1.6
108,서울,2019-03-30 6:00,0
108,서울,2019-03-30 9:00,0
108,서울,2019-03-30 12:00,0
108,서울,2019-03-30 15:00,0.1
108,서울,2019-03-30 18:00,0
108,서울,2019-03-30 21:00,0.1
108,서울,2019-03-31 0:00,0
108,서울,2019-03-31 3:00,0
108,서울,2019-03-31 6:00,0
108,서울,2019-04-05 6:00,0
108,서울,2019-04-05 7:00,0
108,서울,2019-04-05 8:00,0
108,서울,2019-04-05 9:00,0
108,서울,2019-04-06 16:00,0
108,서울,2019-04-06 17:00,0.6
108,서울,2019-04-06 18:00,0.1
108,서울,2019-04-06 19:00,0
108,서울,2019-04-06 22:00,0
108,서울,2019-04-06 23:00,0.1
108,서울,2019-04-09 14:00,0
108,서울,2019-04-09 15:00,0
108,서울,2019-04-09 17:00,0
108,서울,2019-04-09 18:00,1.9
108,서울,2019-04-09 19:00,3.5
108,서울,2019-04-09 20:00,3.5
108,서울,2019-04-09 21:00,2.9
108,서울,2019-04-09 22:00,1.7
108,서울,2019-04-09 23:00,2
108,서울,2019-04-10 0:00,1.9
108,서울,2019-04-10 1:00,1.3
108,서울,2019-04-10 2:00,0.7
108,서울,2019-04-10 3:00,0.8
108,서울,2019-04-10 4:00,0.4
108,서울,2019-04-10 5:00,0.7
108,서울,2019-04-10 6:00,0.2
108,서울,2019-04-10 7:00,0
108,서울,2019-04-10 8:00,0.1
108,서울,2019-04-10 9:00,0
108,서울,2019-04-10 10:00,0.1
108,서울,2019-04-10 11:00,0.1
108,서울,2019-04-10 12:00,0.7
108,서울,2019-04-10 13:00,0.3
108,서울,2019-04-10 14:00,0.2
108,서울,2019-04-10 15:00,0
108,서울,2019-04-10 16:00,0
108,서울,2019-04-14 6:00,0
108,서울,2019-04-14 7:00,0
108,서울,2019-04-14 8:00,0
108,서울,2019-04-14 9:00,0.1
108,서울,2019-04-14 10:00,0.7
108,서울,2019-04-14 11:00,0.9
108,서울,2019-04-14 12:00,0
108,서울,2019-04-18 20:00,0
108,서울,2019-04-18 21:00,0
108,서울,2019-04-20 20:00,0
108,서울,2019-04-20 21:00,0
108,서울,2019-04-20 22:00,0.4
108,서울,2019-04-20 23:00,0.2
108,서울,2019-04-21 0:00,0.6
108,서울,2019-04-21 1:00,0.1
108,서울,2019-04-21 2:00,0.2
108,서울,2019-04-21 3:00,0
108,서울,2019-04-21 4:00,0
108,서울,2019-04-24 0:00,0
108,서울,2019-04-24 1:00,0
108,서울,2019-04-24 2:00,0.9
108,서울,2019-04-24 3:00,1.7
108,서울,2019-04-24 4:00,0.7
108,서울,2019-04-24 5:00,0.6
108,서울,2019-04-24 6:00,0.2
108,서울,2019-04-24 7:00,0
108,서울,2019-04-24 8:00,0
108,서울,2019-04-25 11:00,0
108,서울,2019-04-25 12:00,0
108,서울,2019-04-25 13:00,0.3
